Datetime,Water Level (m)
2023-12-09 12:00:00,-0.9742359
2023-12-09 13:00:00,-0.13309878
2023-12-09 14:00:00,0.6668456
2023-12-09 15:00:00,1.2079104
2023-12-09 16:00:00,1.4775519
2023-12-09 17:00:00,1.4433081
2023-12-09 18:00:00,1.0805484
2023-12-09 19:00:00,0.42419866
2023-12-09 20:00:00,-0.36911345
2023-12-09 21:00:00,-1.1110721
2023-12-09 22:00:00,-1.6457971
2023-12-09 23:00:00,-1.8882756
2023-12-10 00:00:00,-1.5766164
2023-12-10 01:00:00,-0.7120369
2023-12-10 02:00:00,0.119735055
2023-12-10 03:00:00,0.7903059
2023-12-10 04:00:00,1.1029422
2023-12-10 05:00:00,1.1185809
2023-12-10 06:00:00,0.8110297
2023-12-10 07:00:00,0.20470132
2023-12-10 08:00:00,-0.53911835
2023-12-10 09:00:00,-1.2772722
2023-12-10 10:00:00,-1.8573542
2023-12-10 11:00:00,-2.1652794
2023-12-10 12:00:00,-1.8030967
2023-12-10 13:00:00,-0.777991
2023-12-10 14:00:00,0.21973784
2023-12-10 15:00:00,1.079441
2023-12-10 16:00:00,1.5472509
2023-12-10 17:00:00,1.702987
2023-12-10 18:00:00,1.489942
2023-12-10 19:00:00,0.911299
2023-12-10 20:00:00,0.112429105
2023-12-10 21:00:00,-0.725177
2023-12-10 22:00:00,-1.4557685
2023-12-10 23:00:00,-1.9901159
2023-12-11 00:00:00,-2.1627731
2023-12-11 01:00:00,-1.5948095
2023-12-11 02:00:00,-0.5724761
2023-12-11 03:00:00,0.33990407
2023-12-11 04:00:00,1.0025076
2023-12-11 05:00:00,1.2503102
2023-12-11 06:00:00,1.1515042
2023-12-11 07:00:00,0.68919283
2023-12-11 08:00:00,-0.046582296
2023-12-11 09:00:00,-0.8542868
2023-12-11 10:00:00,-1.593283
2023-12-11 11:00:00,-2.1518495
2023-12-11 12:00:00,-2.2898705
2023-12-11 13:00:00,-1.5168078
2023-12-11 14:00:00,-0.37783214
2023-12-11 15:00:00,0.6514291
2023-12-11 16:00:00,1.4499978
2023-12-11 17:00:00,1.8344505
2023-12-11 18:00:00,1.8794574
2023-12-11 19:00:00,1.5113109
2023-12-11 20:00:00,0.7704617
2023-12-11 21:00:00,-0.11949364
2023-12-11 22:00:00,-0.9603893
2023-12-11 23:00:00,-1.7049108
2023-12-12 00:00:00,-2.2127953
2023-12-12 01:00:00,-2.1965923
2023-12-12 02:00:00,-1.2414513
2023-12-12 03:00:00,-0.1853122
2023-12-12 04:00:00,0.69244236
2023-12-12 05:00:00,1.2385737
2023-12-12 06:00:00,1.3638289
2023-12-12 07:00:00,1.1199965
2023-12-12 08:00:00,0.51646423
2023-12-12 09:00:00,-0.29165718
2023-12-12 10:00:00,-1.1238143
2023-12-12 11:00:00,-1.8174295
2023-12-12 12:00:00,-2.2966988
2023-12-12 13:00:00,-2.198097
2023-12-12 14:00:00,-1.0694885
2023-12-12 15:00:00,0.060610946
2023-12-12 16:00:00,1.1032298
2023-12-12 17:00:00,1.8051928
2023-12-12 18:00:00,2.117071
2023-12-12 19:00:00,1.9940288
2023-12-12 20:00:00,1.4077289
2023-12-12 21:00:00,0.53556865
2023-12-12 22:00:00,-0.4177771
2023-12-12 23:00:00,-1.2610155
